          id  timestamp  track  channel  event  note  midi_value  sustain
221    18486          0      0        0     76     0         221        0
222    18499          0      0        1     83    80         222        0
223    18499          1      0        1     59    68         223        0
224    18499          1      0        1     64    68         224        0
225    18973          1      0        0     59     0         225        0
226    18973          1      0        0     64     0         226        0
227    18999          1      0        1     64    68         227        0
228    18999          1      0        1     68    68         228        0
229    19211          0      0        0     83     0         229        0
230    19249          0      0        1     80    80         230        0
231    19473          1      0        0     64     0         231        0
232    19473          1      0        0     68     0         232        0
233    19486          0      0        0     80     0         233        0
234    19499          0      0        1     78    80         234        0
235    19499          1      0        1     59    68         235        0
236    19501          1      0        3     64     0         236        0
237    19502          1      0        3     64   127         237        0
238    19973          0      0        0     78     0         238        0
239    19973          1      0        0     59     0         239        0
240    19999          0      0        1     83    80         240        0
241    19999          1      0        1     63    68         241        0
242    19999          1      0        1     66    68         242        0
243    20473          0      0        0     83     0         243        0
244    20473          1      0        0     63     0         244        0
245    20473          1      0        0     66     0         245        0
246    20499          0      0        1     78    80         246        0
247    20499          1      0        1     66    68         247        0
248    20499          1      0        1     71    68         248        0
249    20973          0      0        0     78     0         249        0
250    20973          1      0        0     66     0         250        0
251    20973          1      0        0     71     0         251        0
252    20999          0      0        1     76    80         252        0
253    20999          1      0        1     61    68         253        0
254    21001          1      0        3     64     0         254        0
255    21002          1      0        3     64   127         255        0
256    21236          0      0        0     76     0         256        0
257    21249          0      0        1     73    80         257        0
258    21473          1      0        0     61     0         258        0
259    21486          0      0        0     73     0         259        0
260    21499          0      0        1     73    80         260        0
261    21499          1      0        1     64    68         261        0
262    21499          1      0        1     68    68         262        0
263    21973          0      0        0     73     0         263        0
264    21973          1      0        0     64     0         264        0
265    21973          1      0        0     68     0         265        0
266    21999          0      0        1     75    80         266        0
267    21999          1      0        1     68    68         267        0
268    21999          1      0        1     73    68         268        0
269    22236          0      0        0     75     0         269        0
270    22249          0      0        1     76    80         270        0
271    22473          1      0        0     68     0         271        0
272    22473          1      0        0     73     0         272        0
273    22486          0      0        0     76     0         273        0
274    22499          0      0        1     71    80         274        0
275    22499          1      0        1     56    68         275        0
276    22501          1      0        3     64     0         276        0
277    22502          1      0        3     64   127         277        0
278    22973          1      0        0     56     0         278        0
279    22999          1      0        1     59    68         279        0
280    22999          1      0        1     63    68         280        0
281    23473          1      0        0     59     0         281        0
282    23473          1      0        0     63     0         282        0
283    23499          1      0        1     63    68         283        0
284    23499          1      0        1     68    68         284        0
285    23686          0      0        0     71     0         285        0
