      timestamp  track  channel  event  note  profile_power    id  sustain
3673     258115      1        0      1    56            133  3673        1
3694     259568      1        0      0    56              0  3694        1
3716     264824      0        0      1    56            133  3716        1
3722     265501      0        0      0    56              0  3722        1
135       11999      1        0      1    57            123   135        1
139       12473      1        0      0    57              0   139        1
291       23999      1        0      1    57            123   291        1
295       24473      1        0      0    57              0   295        1
485       37499      1        0      1    57            123   485        1
489       37973      1        0      0    57              0   489        1
675       49499      1        0      1    57            123   675        1
679       49973      1        0      0    57              0   679        1
866       64499      1        0      1    57            123   866        1
871       64973      1        0      0    57              0   871        1
873       64999      1        0      1    57            123   873        1
876       65473      1        0      0    57              0   876        1
921       67999      1        0      1    57            123   921        1
925       68473      1        0      0    57              0   925        1
1056      76499      1        0      1    57            123  1056        1
1061      76973      1        0      0    57              0  1061        1
1265      89999      1        0      1    57            123  1265        1
1269      90473      1        0      0    57              0  1269        1
1470     101999      1        0      1    57            123  1470        1
1475     102473      1        0      0    57              0  1475        1
1653     115499      1        0      1    57            123  1653        1
1657     115973      1        0      0    57              0  1657        1
1858     127499      1        0      1    57            123  1858        1
1862     127973      1        0      0    57              0  1862        1
2054     139499      1        0      1    57            123  2054        1
2060     139973      1        0      0    57              0  2060        1
2268     151499      1        0      1    57            123  2268        1
2273     151973      1        0      0    57              0  2273        1
2328     154999      1        0      1    57            123  2328        1
2336     155948      1        0      0    57              0  2336        1
2353     157499      1        0      1    57            123  2353        1
2358     157973      1        0      0    57              0  2358        1
2417     163499      1        0      1    57            123  2417        1
2422     163973      1        0      0    57              0  2422        1
2481     169499      1        0      1    57            123  2481        1
2486     169973      1        0      0    57              0  2486        1
2562     175499      1        0      1    57            123  2562        1
2566     175973      1        0      0    57              0  2566        1
2762     194999      1        0      1    57            123  2762        1
2767     195473      1        0      0    57              0  2767        1
2769     195499      1        0      1    57            123  2769        1
2772     195973      1        0      0    57              0  2772        1
2950     206999      1        0      1    57            123  2950        1
2955     207473      1        0      0    57              0  2955        1
3159     220499      1        0      1    57            123  3159        1
3163     220973      1        0      0    57              0  3163        1
3363     232499      1        0      1    57            123  3363        1
3367     232973      1        0      0    57              0  3367        1
3393     235499      1        0      1    57            123  3393        1
3397     235973      1        0      0    57              0  3397        1
3429     238499      1        0      1    57            123  3429        1
3435     238973      1        0      0    57              0  3435        1
3439     238999      1        0      1    57            123  3439        1
3450     239948      1        0      0    57              0  3450        1
3695     259629      1        0      1    57            133  3695        1
3696     259915      1        0      0    57              0  3696        1
8           499      1        0      1    59            124     8        1
10          973      1        0      0    59              0    10        1
20         1999      1        0      1    59            124    20        1
22         2473      1        0      0    59              0    22        1
32         3499      1        0      1    59            124    32        1
34         3973      1        0      0    59              0    34        1
44         4999      1        0      1    59            124    44        1
46         5473      1        0      0    59              0    46        1
65         6499      1        0      1    59            124    65        1
67         6973      1        0      0    59              0    67        1
83         7999      1        0      1    59            124    83        1
87         8473      1        0      0    59              0    87        1
197       16499      1        0      1    59            124   197        1
200       16973      1        0      0    59              0   200        1
223       18499      1        0      1    59            124   223        1
225       18973      1        0      0    59              0   225        1
235       19499      1        0      1    59            124   235        1
239       19973      1        0      0    59              0   239        1
279       22999      1        0      1    59            124   279        1
281       23473      1        0      0    59              0   281        1
351       28999      1        0      1    59            124   351        1
353       29473      1        0      0    59              0   353        1
364       30499      1        0      1    59            124   364        1
366       30973      1        0      0    59              0   366        1
386       31999      1        0      1    59            124   386        1
391       32473      1        0      0    59              0   391        1
416       33499      1        0      1    59            124   416        1
421       33973      1        0      0    59              0   421        1
547       41999      1        0      1    59            124   547        1
550       42473      1        0      0    59              0   550        1
730       53499      1        0      1    59            124   730        1
735       53973      1        0      0    59              0   735        1
743       54499      1        0      1    59            124   743        1
745       54973      1        0      0    59              0   745        1
756       55999      1        0      1    59            124   756        1
758       56473      1        0      0    59              0   758        1
768       57499      1        0      1    59            124   768        1
770       57973      1        0      0    59              0   770        1
791       58999      1        0      1    59            124   791        1
793       59473      1        0      0    59              0   793        1
811       60499      1        0      1    59            124   811        1
814       60973      1        0      0    59              0   814        1
851       63499      1        0      1    59            124   851        1
854       63973      1        0      0    59              0   854        1
895       66499      1        0      1    59            124   895        1
898       66973      1        0      0    59              0   898        1
943       69499      1        0      1    59            124   943        1
946       69973      1        0      0    59              0   946        1
969       70999      1        0      1    59            124   969        1
971       71473      1        0      0    59              0   971        1
972       71499      1        0      1    59            124   972        1
978       71973      1        0      0    59              0   978        1
985       71999      1        0      1    59            124   985        1
991       72473      1        0      0    59              0   991        1
1130      81499      1        0      1    59            124  1130        1
1132      81973      1        0      0    59              0  1132        1
1144      82999      1        0      1    59            124  1144        1
1146      83473      1        0      0    59              0  1146        1
1166      84499      1        0      1    59            124  1166        1
1171      84973      1        0      0    59              0  1171        1
1196      85999      1        0      1    59            124  1196        1
1201      86473      1        0      0    59              0  1201        1
1327      94499      1        0      1    59            124  1327        1
1330      94973      1        0      0    59              0  1330        1
1364      96499      1        0      1    59            124  1364        1
1370      96973      1        0      0    59              0  1370        1
1374      96999      1        0      1    59            124  1374        1
1379      97473      1        0      0    59              0  1379        1
1396      97999      1        0      1    59            124  1396        1
1400      98473      1        0      0    59              0  1400        1
1403      98499      1        0      1    59            124  1403        1
1407      98973      1        0      0    59              0  1407        1
1501     103999      1        0      1    59            124  1501        1
1504     104473      1        0      0    59              0  1504        1
1531     105999      1        0      1    59            124  1531        1
1536     106473      1        0      0    59              0  1536        1
1548     106999      1        0      1    59            124  1548        1
1550     107473      1        0      0    59              0  1550        1
1562     108499      1        0      1    59            124  1562        1
1564     108973      1        0      0    59              0  1564        1
1583     109999      1        0      1    59            124  1583        1
1585     110473      1        0      0    59              0  1585        1
1601     111499      1        0      1    59            124  1601        1
1603     111973      1        0      0    59              0  1603        1
1717     119999      1        0      1    59            124  1717        1
1720     120473      1        0      0    59              0  1720        1
1741     121999      1        0      1    59            124  1741        1
