      timestamp  track  channel  event  note  midi_percentage    id  sustain
246       20499      0        0      1    78               68   246        1
247       20499      1        0      1    66               40   247        1
248       20499      1        0      1    71               40   248        1
249       20973      0        0      0    78                0   249        1
250       20973      1        0      0    66                0   250        1
251       20973      1        0      0    71                0   251        1
252       20999      0        0      1    76               68   252        1
253       20999      1        0      1    61               40   253        1
254       21001      1        0      3    64                0   254        0
255       21002      1        0      3    64              127   255        0
256       21236      0        0      0    76                0   256        1
257       21249      0        0      1    73               68   257        1
258       21473      1        0      0    61                0   258        1
259       21486      0        0      0    73                0   259        1
260       21499      0        0      1    73               68   260        1
261       21499      1        0      1    64               40   261        1
262       21499      1        0      1    68               40   262        1
263       21973      0        0      0    73                0   263        1
264       21973      1        0      0    64                0   264        1
265       21973      1        0      0    68                0   265        1
266       21999      0        0      1    75               68   266        1
267       21999      1        0      1    68               40   267        1
268       21999      1        0      1    73               40   268        1
269       22236      0        0      0    75                0   269        1
270       22249      0        0      1    76               68   270        1
271       22473      1        0      0    68                0   271        1
272       22473      1        0      0    73                0   272        1
273       22486      0        0      0    76                0   273        1
274       22499      0        0      1    71               68   274        1
275       22499      1        0      1    56               40   275        1
276       22501      1        0      3    64                0   276        0
277       22502      1        0      3    64              127   277        0
278       22973      1        0      0    56                0   278        1
279       22999      1        0      1    59               40   279        1
280       22999      1        0      1    63               40   280        1
281       23473      1        0      0    59                0   281        1
282       23473      1        0      0    63                0   282        1
283       23499      1        0      1    63               40   283        1
284       23499      1        0      1    68               40   284        1
285       23686      0        0      0    71                0   285        1
286       23749      0        0      1    71               68   286        1
287       23973      1        0      0    63                0   287        1
288       23973      1        0      0    68                0   288        1
289       23986      0        0      0    71                0   289        1
290       23999      0        0      1    73               68   290        1
291       23999      1        0      1    57               40   291        1
292       24001      1        0      3    64                0   292        0
293       24002      1        0      3    64              127   293        0
294       24473      0        0      0    73                0   294        1
295       24473      1        0      0    57                0   295        1
296       24499      0        0      1    75               68   296        1
297       24499      1        0      1    64               40   297        1
298       24499      1        0      1    69               40   298        1
299       24973      0        0      0    75                0   299        1
300       24999      0        0      1    76               68   300        1
301       25236      0        0      0    76                0   301        1
302       25249      0        0      1    78               68   302        1
303       25448      1        0      0    64                0   303        1
304       25448      1        0      0    69                0   304        1
305       25486      0        0      0    78                0   305        1
306       25499      0        0      1    71               68   306        1
307       25499      1        0      1    56               40   307        1
308       25501      1        0      3    64                0   308        0
309       25502      1        0      3    64              127   309        0
310       25973      0        0      0    71                0   310        1
311       25973      1        0      0    56                0   311        1
312       25999      0        0      1    76               68   312        1
313       25999      1        0      1    64               40   313        1
314       25999      1        0      1    68               40   314        1
315       26473      0        0      0    76                0   315        1
316       26499      0        0      1    78               68   316        1
317       26736      0        0      0    78                0   317        1
318       26749      0        0      1    80               68   318        1
319       26948      1        0      0    64                0   319        1
320       26948      1        0      0    68                0   320        1
321       26986      0        0      0    80                0   321        1
322       26999      0        0      1    73               68   322        1
323       26999      1        0      1    54               40   323        1
324       27001      1        0      3    64                0   324        0
325       27002      1        0      3    64              127   325        0
326       27065      0        0      1    76               68   326        1
327       27132      0        0      1    81               68   327        1
328       27473      1        0      0    54                0   328        1
329       27497      0        0      0    81                0   329        1
330       27497      0        0      0    76                0   330        1
331       27498      0        0      0    73                0   331        1
332       27499      0        0      1    81               68   332        1
333       27499      1        0      1    61               40   333        1
334       27499      1        0      1    66               40   334        1
335       27736      0        0      0    81                0   335        1
336       27749      0        0      1    80               68   336        1
337       27973      1        0      0    61                0   337        1
338       27973      1        0      0    66                0   338        1
339       27986      0        0      0    80                0   339        1
340       27999      0        0      1    78               68   340        1
341       27999      1        0      1    47               40   341        1
342       28236      0        0      0    78                0   342        1
343       28249      0        0      1    76               68   343        1
344       28473      1        0      0    47                0   344        1
345       28486      0        0      0    76                0   345        1
346       28499      0        0      1    76               68   346        1
347       28499      1        0      1    52               40   347        1
348       28501      1        0      3    64                0   348        0
349       28502      1        0      3    64              127   349        0
350       28973      1        0      0    52                0   350        1
351       28999      1        0      1    59               40   351        1
352       28999      1        0      1    64               40   352        1
353       29473      1        0      0    59                0   353        1
354       29473      1        0      0    64                0   354        1
355       29499      1        0      1    64               40   355        1
356       29499      1        0      1    68               40   356        1
357       29923      0        0      0    76                0   357        1
358       29973      1        0      0    64                0   358        1
359       29973      1        0      0    68                0   359        1
360       29999      1        0      1    52               40   360        1
361       30001      1        0      3    64                0   361        0
362       30002      1        0      3    64              127   362        0
363       30473      1        0      0    52                0   363        1
364       30499      1        0      1    59               40   364        1
365       30499      1        0      1    64               40   365        1
366       30973      1        0      0    59                0   366        1
367       30973      1        0      0    64                0   367        1
368       30999      0        0      1    80               68   368        1
369       30999      1        0      1    64               40   369        1
370       30999      1        0      1    68               40   370        1
371       31236      0        0      0    80                0   371        1
372       31249      0        0      1    81               68   372        1
373       31473      1        0      0    64                0   373        1
374       31473      1        0      0    68                0   374        1
375       31486      0        0      0    81                0   375        1
376       31499      0        0      1    80               68   376        1
377       31499      0        0      1    83               68   377        1
378       31499      1        0      1    52               40   378        1
379       31501      1        0      3    64                0   379        0
380       31502      1        0      3    64              127   380        0
381       31973      0        0      0    83                0   381        1
382       31973      0        0      0    80                0   382        1
383       31973      1        0      0    52                0   383        1
384       31999      0        0      1    83               68   384        1
