timestamp,track,channel,event,note,midi_value
19000,2,0,1,61,49
19000,1,0,1,80,57
19266,1,0,0,80,64
19333,1,0,1,68,57
19633,1,0,0,68,64
19666,1,0,1,73,57
19966,1,0,0,73,64
20666,1,0,1,82,57
20966,1,0,0,82,64
21000,1,0,1,84,57
21200,2,0,0,61,64
21300,1,0,0,84,64
21333,1,0,1,85,57
21333,1,0,1,77,57
21333,2,0,1,58,49
21590,2,0,0,58,64
21619,2,0,1,65,49
21847,1,0,0,85,64
21847,1,0,0,77,64
21904,1,0,1,73,57
22161,1,0,0,73,64
22190,1,0,1,84,57
22190,1,0,1,75,57
22733,1,0,0,84,64
22733,1,0,0,75,64
22761,1,0,1,80,57
22761,1,0,1,72,57
23276,1,0,0,80,64
23276,1,0,0,72,64
23297,1,0,1,80,57
23333,1,0,1,82,57
23333,1,0,1,73,57
23361,1,0,0,80,64
23619,2,0,1,54,49
23619,2,0,0,65,64
23876,1,0,0,73,64
23876,1,0,0,82,64
23876,2,0,0,54,64
23904,1,0,1,80,57
23905,2,0,1,61,49
24162,2,0,0,61,64
24190,2,0,1,68,49
24419,1,0,0,80,64
24476,1,0,1,73,57
24990,1,0,0,73,64
25047,1,0,1,75,57
25546,1,0,0,75,0
25547,1,0,1,75,80
25561,1,0,0,75,64
25618,1,0,0,68,0
25619,1,0,1,77,57
25619,1,0,1,68,57
25905,2,0,1,49,49
25905,2,0,0,68,64
26150,2,0,0,49,64
26150,1,0,0,77,64
26177,2,0,1,56,49
26177,1,0,1,68,57
26423,2,0,0,56,64
26423,1,0,0,68,64
26450,2,0,1,61,49
26450,1,0,1,80,57
26695,1,0,0,80,64
26723,1,0,1,75,57
26941,2,0,0,61,64
26995,2,0,1,48,49
27241,2,0,0,48,64
27241,1,0,0,75,64
27268,2,0,1,56,49
27268,1,0,1,68,57
27513,1,0,0,68,64
27514,2,0,0,56,64
27541,2,0,1,60,49
27541,1,0,1,80,57
27786,1,0,0,80,64
27813,1,0,1,78,57
28032,2,0,0,60,64
28086,2,0,1,46,49
28332,2,0,0,46,64
28332,1,0,0,78,64
28359,2,0,1,53,49
28359,1,0,1,77,57
28604,1,0,0,77,64
28632,1,0,1,75,57
28877,1,0,0,75,64
28904,1,0,1,73,57
29150,1,0,0,73,64
29723,1,0,1,82,57
29723,1,0,1,73,57
29968,1,0,0,82,64
29968,1,0,0,73,64
29995,1,0,1,84,57
29995,1,0,1,75,57
30159,2,0,0,53,64
30241,1,0,0,75,64
30241,1,0,0,84,64
30268,2,0,1,54,49
30268,1,0,1,85,57
30268,1,0,1,78,57
30514,2,0,0,54,64
30541,2,0,1,61,49
30786,2,0,0,61,64
30814,2,0,1,68,49
31086,1,0,0,85,64
31086,1,0,0,78,64
31086,1,0,1,84,57
31086,1,0,1,75,57
31523,1,0,0,84,64
31523,1,0,0,75,64
31632,1,0,1,80,57
31632,1,0,1,72,57
32123,1,0,0,80,64
32123,1,0,0,72,64
32143,1,0,1,80,57
32177,1,0,1,82,57
32177,1,0,1,73,57
32204,1,0,0,80,64
32450,2,0,1,53,49
32450,2,0,0,68,64
32695,2,0,0,53,64
32695,1,0,0,73,64
32695,1,0,0,82,64
32723,2,0,1,61,49
32723,1,0,1,80,57
32968,2,0,0,61,64
32995,2,0,1,65,49
33213,1,0,0,80,64
33268,1,0,1,73,57
33759,1,0,0,73,64
33813,1,0,1,75,57
34448,1,0,1,63,57
34509,1,0,0,63,64
34509,1,0,1,68,57
34570,1,0,0,68,64
34570,1,0,1,70,57
34631,1,0,0,75,0
34632,1,0,1,75,57
34632,1,0,0,70,64
34632,2,0,0,65,64
34632,2,0,1,51,49
34633,1,0,0,75,64
34877,2,0,0,51,64
34905,2,0,1,58,49
35150,2,0,0,58,64
35177,2,0,1,61,49
35450,1,0,1,66,57
35614,2,0,0,61,64
35723,2,0,1,63,49
35886,1,0,0,66,64
35995,1,0,1,68,57
36159,2,0,0,63,64
36268,2,0,1,61,49
36486,1,0,0,68,64
36541,1,0,1,70,57
36705,2,0,0,61,64
36814,2,0,1,63,49
37059,1,0,0,70,64
37086,1,0,1,73,57
37250,2,0,0,63,64
37359,2,0,1,61,49
37577,1,0,0,73,64
37632,1,0,1,75,57
37795,2,0,0,61,64
37905,2,0,1,63,49
38123,1,0,0,75,64
38177,1,0,1,78,57
38341,2,0,0,63,64
38450,2,0,1,61,49
38811,1,0,1,80,57
38873,1,0,1,75,57
38873,1,0,0,80,64
38886,2,0,0,61,64
38934,1,0,0,75,64
38934,1,0,1,73,57
38995,1,0,0,78,64
38995,1,0,0,73,64
38995,1,0,1,68,57
38995,2,0,1,44,49
39241,2,0,0,44,64
39268,2,0,1,51,49
39514,2,0,0,51,64
39541,2,0,1,54,49
39786,2,0,0,54,64
39814,2,0,1,61,49
40332,1,0,0,68,64
40359,1,0,1,68,57
40905,2,0,0,61,64
40905,2,0,1,60,49
41150,2,0,0,60,64
41177,2,0,1,60,37
41177,2,0,1,56,37
42159,1,0,0,68,64
42541,1,0,1,73,63
42778,1,0,0,73,0
42779,1,0,1,73,63
42786,1,0,0,73,64
42813,1,0,1,75,63
43059,1,0,0,75,64
